E_elc_Ry	ks1/2J1/2
0.46161	-2.363114462
0.46241	-2.363235443
0.46321	-2.363380657
0.46401	-2.363501701
0.46481	-2.363622774
0.46561	-2.363743876
0.46641	-2.363889236
0.46721	-2.364010401
0.46801	-2.364131595
0.46881	-2.364253206
0.46961	-2.364374464
0.47041	-2.36449575
0.47121	-2.364617066
0.47201	-2.364762683
0.47281	-2.364884063
0.47361	-2.365005471
0.47441	-2.365126909
0.47521	-2.365272672
0.47601	-2.365394173
0.47681	-2.365491842
0.47761	-2.365613402
0.47841	-2.365759311
0.47921	-2.365880934
0.48001	-2.366002586
0.48081	-2.366124267
0.48161	-2.366270323
0.48241	-2.366392068
0.48321	-2.366513842
0.48401	-2.366635645
0.48481	-2.366781848
0.48561	-2.366879854
0.48641	-2.367001751
0.48721	-2.367123676
0.48801	-2.36724563
0.48881	-2.367392014
0.48961	-2.367514033
0.49041	-2.36763608
0.49121	-2.367758157
0.49201	-2.367904688
0.49281	-2.368026829
0.49361	-2.368148999
0.49441	-2.368271198
0.49521	-2.368369566
0.49601	-2.368516279
0.49681	-2.368638571
0.49761	-2.368760893
0.49841	-2.368883244
0.49921	-2.369005625
0.50001	-2.369128034
0.50081	-2.369274964
0.50161	-2.369397437
0.50241	-2.36951994
0.50321	-2.369642472
0.50401	-2.369765034
0.50481	-2.369887624
0.50561	-2.370010913
0.50641	-2.370133568
0.50721	-2.370256252
0.50801	-2.370378966
0.50881	-2.370501709
0.50961	-2.370624481
0.51041	-2.370771847
0.51121	-2.370894683
0.51201	-2.371017549
0.51281	-2.371116586
0.51361	-2.371264099
0.51441	-2.371363935
0.51521	-2.371509307
0.51601	-2.371633068
0.51681	-2.371756116
0.51761	-2.371880714
0.51841	-2.371972321
0.51921	-2.372123891
0.52001	-2.372247823
0.52081	-2.372371012
0.52161	-2.372495021
0.52241	-2.372618275
0.52321	-2.372741558
0.52401	-2.372865679
0.52481	-2.372800232
0.52561	-2.373110763
0.52641	-2.373234985
0.52721	-2.373358415
0.52801	-2.373481875
0.52881	-2.373605364
0.52961	-2.373728883
0.53041	-2.373828575
0.53121	-2.373976872
0.53201	-2.374100485
0.53281	-2.374224128
0.53361	-2.3743478
0.53441	-2.374471502
0.53521	-2.374595233
0.53601	-2.374718994
0.53681	-2.374842784
0.53761	-2.374966604
0.53841	-2.375066599
0.53921	-2.375190478
0.54001	-2.375314387
0.54081	-2.375438325
0.54161	-2.375562292
0.54241	-2.37568629
0.54321	-2.375835126
0.54401	-2.375959188
0.54481	-2.37608328
0.54561	-2.376207402
0.54641	-2.376331553
0.54721	-2.376431881
0.54801	-2.376556092
0.54881	-2.376680332
0.54961	-2.376804602
0.55041	-2.376928902
0.55121	-2.377053231
0.55201	-2.37717759
0.55281	-2.377301979
0.55361	-2.377426397
0.55441	-2.377550845
0.55521	-2.377675322
0.55601	-2.377751074
0.55681	-2.377900516
0.55761	-2.378025083
0.55841	-2.378149679
0.55921	-2.378274306
0.56001	-2.378398962
0.56081	-2.378523648
0.56161	-2.378648364
0.56241	-2.378773109
0.56321	-2.378897884
0.56401	-2.379022689
0.56481	-2.379147524
0.56561	-2.379272388
0.56641	-2.379397283
0.56721	-2.379498358
0.56801	-2.379623312
0.56881	-2.379748296
0.56961	-2.379873309
0.57041	-2.379998353
0.57121	-2.380123426
0.57201	-2.38024853
0.57281	-2.380373663
0.57361	-2.380498826
0.57441	-2.380624018
0.57521	-2.380749241
0.57601	-2.380874493
0.57681	-2.380999776
0.57761	-2.381125088
0.57841	-2.381225359
0.57921	-2.381326879
0.58001	-2.381452276
0.58081	-2.381577702
0.58161	-2.381703158
0.58241	-2.381828644
0.58321	-2.38195416
0.58401	-2.382079705
0.58481	-2.382205281
0.58561	-2.382330887
0.58641	-2.382456522
0.58721	-2.382582188
0.58801	-2.382707884
0.58881	-2.382833609
0.58961	-2.382959365
0.59041	-2.383059991
0.59121	-2.3831858
0.59201	-2.38331164
0.59281	-2.383437509
0.59361	-2.383563409
0.59441	-2.383689338
0.59521	-2.383815298
0.59601	-2.383941288
0.59681	-2.384043467
0.59761	-2.384144305
0.59841	-2.384270379
0.59921	-2.384396483
0.60001	-2.384522617
0.60081	-2.384648781
0.60161	-2.384774976
0.60241	-2.3849012
0.60321	-2.385027455
0.60401	-2.38512848
0.60481	-2.385254789
0.60561	-2.385381127
0.60641	-2.385507496
0.60721	-2.385633895
0.60801	-2.385760325
0.60881	-2.38586149
0.60961	-2.385987973
0.61041	-2.386114487
0.61121	-2.386241031
0.61201	-2.386367605
0.61281	-2.386494209
0.61361	-2.386595514
0.61441	-2.386722172
0.61521	-2.386848861
0.61601	-2.386974065
0.61681	-2.387094727
0.61761	-2.387205275
0.61841	-2.387330553
0.61921	-2.387457387
0.62001	-2.387582705
0.62081	-2.38770494
0.62161	-2.387818909
0.62241	-2.387942757
0.62321	-2.388044347
0.62401	-2.388195194
0.62481	-2.388296828
0.62561	-2.388423898
0.62641	-2.388550998
0.62721	-2.3886527
0.62801	-2.388806897
0.62881	-2.38890704
0.62961	-2.389034256
0.63041	-2.389161501
0.63121	-2.389288778
0.63201	-2.38939062
0.63281	-2.389517951
0.63361	-2.389645312
0.63441	-2.389747222
0.63521	-2.389850813
0.63601	-2.389978259
0.63681	-2.390105736
0.63761	-2.390207739
0.63841	-2.390335271
0.63921	-2.390462832
0.64001	-2.390590425
0.64081	-2.39069252
0.64161	-2.390820167
0.64241	-2.390947845
0.64321	-2.391075552
0.64401	-2.39117774
0.64481	-2.391305503
0.64561	-2.391433296
0.64641	-2.391561119
0.64721	-2.3916634
0.64801	-2.391791278
0.64881	-2.391919187
0.64961	-2.392047126
0.65041	-2.3921495
0.65121	-2.392277494
0.65201	-2.392405518
0.65281	-2.39250796
0.65361	-2.392636039
0.65441	-2.392764149
0.65521	-2.392868473
0.65601	-2.392971008
0.65681	-2.393099204
0.65761	-2.39322743
0.65841	-2.393330033
0.65921	-2.393458315
0.66001	-2.393586626
0.66081	-2.393714969
0.66161	-2.393817665
0.66241	-2.393946062
0.66321	-2.39407449
0.66401	-2.394177255
0.66481	-2.394281926
0.66561	-2.394434252
0.66641	-2.394562796
0.66721	-2.394665654
0.66801	-2.394794253
0.66881	-2.394922883
0.66961	-2.395025809
0.67041	-2.395154495
0.67121	-2.39528321
0.67201	-2.395386205
0.67281	-2.395514976
0.67361	-2.39561997
0.67441	-2.395723034
0.67521	-2.395851892
0.67601	-2.39598078
0.67681	-2.396083912
0.67761	-2.396212855
0.67841	-2.396341829
0.67921	-2.396445031
0.68001	-2.39657406
0.68081	-2.39670312
0.68161	-2.39680639
0.68241	-2.396935505
0.68321	-2.397064651
0.68401	-2.39716799
0.68481	-2.397297192
0.68561	-2.397426424
0.68641	-2.397529832
0.68721	-2.397659119
0.68801	-2.397788438
0.68881	-2.397891914
0.68961	-2.398021288
0.69041	-2.398150693
0.69121	-2.398254238
0.69201	-2.398383698
0.69281	-2.398513189
0.69361	-2.398616804
0.69441	-2.39874635
0.69521	-2.398826213
0.69601	-2.398955815
0.69681	-2.399085449
0.69761	-2.399189177
0.69841	-2.399318866
0.69921	-2.399448585
0.70001	-2.399552383
0.70081	-2.399682158
0.70161	-2.399786001
0.70241	-2.399915831
0.70321	-2.400045693
0.70401	-2.400149604
0.70481	-2.400279521
0.70561	-2.400383477
0.70641	-2.40051345
0.70721	-2.400643454
0.70801	-2.400747479
0.70881	-2.400877539
0.70961	-2.400981609
0.71041	-2.401111724
0.71121	-2.40124187
0.71201	-2.401346009
0.71281	-2.401476211
0.71361	-2.401580395
0.71441	-2.401710652
0.71521	-2.40181488
0.71601	-2.401945194
0.71681	-2.402075538
0.71761	-2.402179836
0.71841	-2.402310236
