E_elc_Ry	kp3/2J1/2 6s[1/2]
0.451201	2.418185871
0.452001	2.417942195
0.452801	2.417724085
0.453601	2.417480407
0.454401	2.417262296
0.455201	2.417030622
0.456001	2.416800505
0.456801	2.416556824
0.457601	2.416338712
0.458401	2.416108582
0.459201	2.415878445
0.460001	2.41564678
0.460801	2.415416636
0.461601	2.415186486
0.462401	2.41495633
0.463201	2.414726168
0.464001	2.414495999
0.464801	2.414265825
0.465601	2.414035644
0.466401	2.413805457
0.467201	2.413575264
0.468001	2.413358585
0.468801	2.413128377
0.469601	2.412898163
0.470401	2.412667944
0.471201	2.412451228
0.472001	2.412220994
0.472801	2.411978676
0.473601	2.41176193
0.474401	2.411531672
0.475201	2.411314906
0.476001	2.411072544
0.476801	2.410855756
0.477601	2.410625466
0.478401	2.410396558
0.479201	2.410166251
0.480001	2.409949422
0.480801	2.409720471
0.481601	2.409490138
0.482401	2.409261159
0.483201	2.409044283
0.484001	2.408815273
0.484801	2.408584903
0.485601	2.408355864
0.486401	2.408138942
0.487201	2.407909872
0.488001	2.407692926
0.488801	2.407463825
0.489601	2.407246855
0.490401	2.40700427
0.491201	2.406775124
0.492001	2.406558118
0.492801	2.406342388
0.493601	2.406113191
0.494401	2.405896147
0.495201	2.40566692
0.496001	2.405437676
0.496801	2.405208415
0.497601	2.40499132
0.498401	2.40477546
0.499201	2.404546149
0.500001	2.404316822
0.500801	2.404100903
0.501601	2.40387154
0.502401	2.40365558
0.503201	2.403426181
0.504001	2.403210181
0.504801	2.402980746
0.505601	2.402764706
0.506401	2.402535235
0.507201	2.402319155
0.508001	2.402103054
0.508801	2.401873529
0.509601	2.401645153
0.510401	2.401428988
0.511201	2.401212802
0.512001	2.400984349
0.512801	2.400768117
0.513601	2.400551865
0.514401	2.400323336
0.515201	2.400107038
0.516001	2.399878456
0.516801	2.399662114
0.517601	2.39943348
0.518401	2.399217092
0.519201	2.399001783
0.520001	2.398773067
0.520801	2.398556608
0.521601	2.398341211
0.522401	2.398112413
0.523201	2.397909251
0.524001	2.397680399
0.524801	2.397464882
0.525601	2.397235972
0.526401	2.397020395
0.527201	2.396804785
0.528001	2.396575788
0.528801	2.396360117
0.529601	2.396144415
0.530401	2.39591533
0.531201	2.395699567
0.532001	2.395483772
0.532801	2.395267946
0.533601	2.395052089
0.534401	2.3948362
0.535201	2.39462028
0.536001	2.394391971
0.536801	2.394175984
0.537601	2.393959966
0.538401	2.393743917
0.539201	2.393528796
0.540001	2.393312679
0.540801	2.39309653
0.541601	2.392867965
0.542401	2.39265175
0.543201	2.392448828
0.544001	2.392220153
0.544801	2.392003839
0.545601	2.391800813
0.546401	2.391572027
0.547201	2.39136893
0.548001	2.391140069
0.548801	2.390923587
0.549601	2.390720387
0.550401	2.390491414
0.551201	2.390288143
0.552001	2.390059095
0.552801	2.389855753
0.553601	2.389626629
0.554401	2.389423217
0.555201	2.389207319
0.556001	2.388990534
0.556801	2.388774557
0.557601	2.388557705
0.558401	2.38834165
0.559201	2.388138023
0.560001	2.387908596
0.560801	2.387704899
0.561601	2.387488686
0.562401	2.387271629
0.563201	2.387055337
0.564001	2.386851497
0.564801	2.386635126
0.565601	2.386417932
0.566401	2.386201482
0.567201	2.3859975
0.568001	2.38578097
0.568801	2.385576916
0.569601	2.385347033
0.570401	2.385142908
0.571201	2.38492622
0.572001	2.384709491
0.572801	2.384505257
0.573601	2.384288447
0.574401	2.384084142
0.575201	2.383867253
0.576001	2.383662875
0.576801	2.383445907
0.577601	2.383228896
0.578401	2.383024409
0.579201	2.38280732
0.580001	2.382602761
0.580801	2.382385592
0.581601	2.382168381
0.582401	2.381963713
0.583201	2.381746422
0.584001	2.381542338
0.584801	2.381337559
0.585601	2.381120146
0.586401	2.380902692
0.587201	2.380698438
0.588001	2.380493511
0.588801	2.380275933
0.589601	2.380058315
0.590401	2.379853891
0.591201	2.379648816
0.592001	2.379444308
0.592801	2.379226524
0.593601	2.379021929
0.594401	2.37880406
0.595201	2.378599378
0.596001	2.378394077
0.596801	2.378189311
0.597601	2.377971277
0.598401	2.377766424
0.599201	2.377561527
0.600001	2.377343364
0.600801	2.37713838
0.601601	2.376933351
0.602401	2.376715061
0.603201	2.376509945
0.604001	2.376304785
0.604801	2.37609958
0.605601	2.375894332
0.606401	2.375689039
0.607201	2.375470991
0.608001	2.375265606
0.608801	2.375060176
0.609601	2.374854702
0.610401	2.374649184
0.611201	2.374443622
0.612001	2.37422528
0.612801	2.374019625
0.613601	2.373813926
0.614401	2.373608183
0.615201	2.373402396
0.616001	2.373183808
0.616801	2.372991124
0.617601	2.372785199
0.618401	2.372579229
0.619201	2.372360443
0.620001	2.372167572
0.620801	2.371961465
0.621601	2.371742529
0.622401	2.371536329
0.623201	2.371343272
0.624001	2.371124185
0.624801	2.370931032
0.625601	2.370724648
0.626401	2.370518221
0.627201	2.370312117
0.628001	2.370105596
0.628801	2.36991221
0.629601	2.369692773
0.630401	2.369499291
0.631201	2.369292587
0.632001	2.369086175
0.632801	2.368879377
0.633601	2.368685708
0.634401	2.368465968
0.635201	2.368272204
0.636001	2.368065223
0.636801	2.367858502
0.637601	2.367651427
0.638401	2.367457475
0.639201	2.367237433
0.640001	2.367043385
0.640801	2.366849291
0.641601	2.366629098
0.642401	2.366434908
0.643201	2.366227511
0.644001	2.366033229
0.644801	2.365825994
0.645601	2.365618459
0.646401	2.365424035
0.647201	2.365216645
0.648001	2.36500897
0.648801	2.364814404
0.649601	2.364619792
0.650401	2.364399046
0.651201	2.364204338
0.652001	2.364009583
0.652801	2.363801635
0.653601	2.363606789
0.654401	2.363398939
0.655201	2.363203996
0.656001	2.362995863
0.656801	2.362800828
0.657601	2.362592773
0.658401	2.362397642
0.659201	2.362189325
0.660001	2.361994101
0.660801	2.361785841
0.661601	2.361590521
0.662401	2.361395154
0.663201	2.361186608
0.664001	2.360991149
0.664801	2.360782633
0.665601	2.360587078
0.666401	2.360391477
